id_establecimiento,descripcion,nro_escuela,domicilio,seccion,circuito
1,ESC Nº26 HIPOLITO YRIGOYEN,1,Av. San Juan 353,1,1
2,ESC Nº3 BERNARDINO RIVADAVIA,2,Bolivar 1235,1,1
3,INST. SIMON BOLIVAR,3,Bolivar 1163,1,1
4,ESC INTERDISCIPLINARIA Nº3,4,Piedras 1430,1,1
5,ESC Nº27 DEAN FUNES,5,Defensa 1431,1,1
6,ESC N°4 B. FERNANDEZ MORENO,6,Perú 1357,1,1
7,INST MARIA AUXILIADORA,7,Av. Juan de Garay 556 / s/n,1,1
8,ESC Nº21 HIPOLITO VIEYTES,8,Perú 946,1,2
9,ESC Nº1 VALENTIN GOMEZ,9,Av. Independencia 758,1,2
10,ESC N°22 DR GUILLERMO RAWSON,10,Humberto I 343,1,2
11,COLEGIO Nº7 J M PUEYRREDON,11,Chacabuco 922,1,2
12,JARDIN DE INFANTES N°3 SAN TELMO,12,Piedras 860,1,2
13,"ESC.N°37 ""FRANCISCO GATTI",13,Av. Independencia 672,1,2
14,UBA  FACULTAD DE INGENIERIA,14,Av. Paseo Colón 850,1,2
15,UCA  EDIFICIO SANTO TOMAS MORO,15,Av. A. Moreau de Justo 1400,1,3
16,UCA  EDIFICIO SAN ALBERTO MAGNO,16,Av. A. Moreau de Justo 1500,1,4
17,ESC NAC DE NAUTICA MANUEL BELGRANO,17,Av. Antártida Argentina 1535,1,5
18,ESC Nº25 BANDERA ARGENTINA,18,Letonia s/n y Combate de Costa Brava,1,5
19,ESC Nº6 PADRE C MUGICA,19,Letonia 1940,1,5
20,ESC INFANTIL N°5,20,Letonia 1928,1,5
21,INST EN LENGUAS VIVAS J R FERNANDEZ,21,Carlos Pellegrini 1515,1,6
22,ESC Nº2 D F SARMIENTO,22,Av. Pte. Manuel Quintana 31,1,6
23,JARDIN DE INFANTES N°4 CINCO ESQUINAS,23,Av. Pte. Manuel Quintana 7,1,6
24,COLEGIO Nº2 D F SARMIENTO,24,Libertad 1257,1,6
25,COLEGIO MALLINCKRODT,25,Juncal 1160 / 1178,1,6
26,COLEGIO JESUS MARIA GIMNASIO,26,Uruguay 1241,1,6
27,ASOCIACION ARGENTINA DE CULTURA INGLESA,27,Suipacha 1333,1,6
28,USAL FACULTAD DE PSICOLOGIA,28,M. T. de Alvear 1337,1,7
29,UCES,29,Paraguay 1318,1,7
30,INST C RAMOS MEJIA DE BUNGE,30,Paraguay 1252,1,7
31,ESC Nº6 FRENCH Y BERUTI,31,Basavilbaso 1295,1,8
32,JARDIN DE INFANTES N°2,32,Juncal 690,1,8
33,COLEGIO DE NUESTRA SEÑORA,33,Esmeralda 759,1,8
34,ESC Nº4 DE CATEDRAL J M ESTRADA,34,Reconquista 461,1,9
35,ESC Nº13 GRAL SAN MARTIN,35,San Martín 458,1,9
36,CIRCULO POLICIA FEDERAL SEDE SOCIA,36,San Martín 353,1,9
37,BOLSA DE COMERCIO DE BUENOS AIRES,37,25 de Mayo 359,1,9
38,PALACIO LIBERTAD,38,Av. Leandro N. Alem 351,1,9
39,ESC Nº5 RODRIGUEZ PEÑA,39,Rodríguez Peña 747,1,10
40,INST LIBRE DE SEGUNDA ENSEÑANZA,40,Libertad 555,1,10
41,ESC Nº7 PRESIDENTE ROCA,41,Libertad 581,1,10
42,ESC Nº19 ALEJANDRO VOLTA,42,Rodríguez Peña 551,1,10
43,ESC Nº8 NICOLAS AVELLANEDA,43,Talcahuano 680,1,10
44,COLEGIO PUBLICO DE ABOGADOS,44,Av. Corrientes 1441,1,10
45,UMSA FACULTAD DE ARTES,45,Sarmiento 1565,1,11
46,COMPLEJO TEATRO SAN MARTIN,46,Av. Corrientes 1530,1,11
47,CLUB GEBA SEDE ALDAO,47,Bartolomé Mitre 1149,1,11
48,ESC Nº9 FAMILIA DE CABEZON,48,Tte. Gral. J. D. Perón 1140,1,11
49,UMSA,49,Av. Corrientes 1723,1,11
50,COLEGIO DON BOSCO,50,Solís 252 / Moreno s/n,1,12
51,INST SANTA ROSA,51,Bartolomé Mitre 1655 / s/n,1,12
52,INST NUESTRA SEÑORA DE MONTSERRAT,52,Av. Belgrano 1344,1,12
53,UBA FACULTAD DE CS. SOCIALES,53,Santiago del Estero 1029,1,12
54,UADE,54,Av. Independencia 1127,1,13
55,INST LOS ROBLES,55,Pte. Luis Sáenz Peña 443,1,13
56,ESC Nº2 FRAY C RODRIGUEZ,56,Chile 1670,1,13
57,ESC Nº14 GRAL MARIANO NECOCHEA,57,Pte. Luis Sáenz Peña 463,1,13
58,ESC Nº13 PCIA DE SANTIAGO DEL ESTERO,58,Chile 1371,1,13
59,INST PRIV CAMARA ARGENTINA DE COMERCIO,59,Av. Rivadavia 970,1,14
60,COLEGIO NACIONAL DE BUENOS AIRES,60,Bolívar 263 / Moreno 519,1,14
61,DEFENSORIA DEL PUEBLO,61,Av. Belgrano 570,1,14
62,INST NAC DE LA ADMINISTRACION PUBLICA,62,Av. Belgrano 637,1,14
63,ESC Nº4 CNEL ISIDORO SUAREZ,63,Venezuela 771,1,15
64,INST SUPERIOR OCTUBRE,64,Venezuela 356,1,15
65,INST. CELIA MARTINEZ DE VARELA,65,Av. Paseo Colón 465 / 469,1,15
66,UNIVERSIDAD ISALUD,66,Venezuela 847,1,15
67,ESC Nº3 SANCHEZ DE THOMPSON,67,Tacuarí 567,1,15
68,ESC STA CATALINA DE ALEJANDRIA GIMNASIO,68,Av. Caseros 851,1,16
69,COLEGIO ESTEBAN ECHEVERRIA,69,Av. San Juan 983,1,16
70,INST FELICIA RAMON DE PALACIOS,70,Av. Brasil 882,1,16
71,INST SAN VICENTE DE PAUL,71,Carlos Calvo 924,1,16
72,UBA FACULTAD DE CS SOCIALES,72,San José 1064,1,17
73,ESC Nº7 GRAL GUEMES,73,Carlos Calvo 1140,1,17
74,ESC Nº5 AGUSTIN ALVAREZ,74,Humberto I 1573,1,17
75,COLEGIO INMACULADA CONCEPCION,75,Carlos Calvo 1186,1,17
76,COLEGIO N°1 BERNARDINO RIVADAVIA,76,Av. San Juan 1545 / s/n,1,17
77,UBA FACULTAD DE CS SOCIALES,77,Santiago del Estero 1029,1,17
78,ESC Nº16 EUSTAQUIO CARDENAS,78,Salta 1226,1,18
79,COLEGIO DE LA PROVIDENCIA,79,Cochabamba 1414,1,18
80,ESC Nº11 DR RICARDO GUTIERREZ,80,Pte. L S. Peña 1215 / Av. San Juan s/n,1,18
81,INST LOS ANGELES  PRIMARIA,81,Virrey Cevallos 1287,1,18
82,INST VOCACIONAL DE ARTE,82,Av. Juan de Garay 1684,1,19
83,ESC Nº6 TOMAS GUIDO,83,San José 1985,1,19
84,ESC Nº4 CNEL DE MARINA T ESPORA,84,Solís 1815,1,19
85,JARDIN DE INFANTES WALT DISNEY,85,San José 1980,1,19
86,INST LOS ANGELES  SECUNDARIA,86,Av. Entre Ríos 1956,1,19
87,INST HOGAR DEL PINO,87,Constitución 1650,1,19
88,UBA  FACULTAD DE DERECHO,88,Av. Figueroa Alcorta 2263,2,20
89,ESC NACIONAL DE BIBLIOTECARIOS,89,Agüero 2502,2,20
90,UBA FACULTAD DE DERECHO,90,Av. Figueroa Alcorta 2263,2,21
91,ESC N°21 ANGEL GALLARDO,91,Ayacucho 1849,2,21
92,INST NUESTRA SEÑORA DEL PILAR,92,Vicente López 1969,2,21
93,ESC N°1 JUAN JOSE CASTELLI,93,Ayacucho 1680,2,21
94,ESC N°18 DR HERRERA VEGAS,94,Av. Gral. Las Heras 3086,2,22
95,COLEGIO SAN TARSICIO,95,Juncal 2623,2,22
96,ESC N°24 CORNELIA PIZARRO,96,Peña 2670,2,22
97,ALIANZA FRANCESA CENTRO FORTABAT,97,Billinghurst 1926,2,22
98,INST MARIA BIANCHI DE COPELLO,98,Pacheco de Melo 2455,2,22
99,ESC N°10 GREGORIA PEREZ,99,Arenales 2733,2,22
100,COLEGIO RIO DE LA PLATA  SECUNDARIA,100,Laprida 1635,2,22
101,INST SAN AGUSTIN,101,Agüero 2320 / s/n,2,23
102,INST SAN MIGUEL,102,Larrea 1254,2,23
103,INST PADRE ETCHEVERRY BONEO,103,Juncal 2131,2,23
104,COLEGIO SAN PABLO,104,Pacheco de Melo 2300,2,23
105,LICEO NACIONAL N°1 J F ALCORTA,105,Av. Santa Fe 2778,2,23
106,COLEGIO RIO DE LA PLATA  PRIMARIA,106,Dr. T. M. de Anchorena 1644,2,23
107,INST MERCEDES PACHECO,107,Dr. T. M. de Anchorena 1553,2,23
108,UBA  FACULTAD DE INGENIERIA,108,Av. Gral Las Heras 2214,2,24
109,OAKHILL SCHOOL  SEDE RECOLETA,109,Juncal 1914,2,24
110,INST NTRA SEÑORA DE LA MISERICORDIA,110,Azcuénaga 1630,2,24
111,SEDE COMUNAL N°2,111,J. E. Uriburu 1022,2,24
112,COLEGIO LA ANUNCIATA,112,Arenales 2065,2,24
113,ESC CARLOS PELLEGRINI ,113,M. T. de Alvear 1851 / 1875,2,25
114,ESC INTERDISCIPLINARIA N°1,114,Ayacucho 953,2,25
115,ESC ARGENTINA MODELO,115,Riobamba 1059,2,25
116,CASA DEL BICENTENARIO,116,Riobamba 985,2,25
117,"ESC. Nº1 ""R. SAENZ PEÑA""  PRIMARIA",117,Paraguay 1950,2,25
118,ESC N°3 ONESIMO LEGUIZAMON,118,Av. Sta Fe 1510 / Paraná 1068,2,26
119,INST DEL CARMEN,119,Paraguay 1706,2,26
120,COLEGIO CHAMPAGNAT,120,Montevideo 1046,2,26
121,INST INMACULADA C DE M ADORATRICES,121,Uruguay 936,2,26
122,ESC INFANTIL N°7 PALACIO PIZZURNO,122,Paraguay 1452,2,26
123,USAL  FACULTAD DE MEDICINA,123,Av. Córdoba 1601,2,26
124,ESC N°1 R SAENZ PEÑA  SECUNDARIA,124,Av. Córdoba 1951,2,27
125,ESC N°1 R SAENZ PEÑA  PRIMARIA,125,Paraguay 1950,2,27
126,ESC N°23 BERNARDINO RIVADAVIA,126,Larrea 854,2,27
127,UBA  FACULTAD DE MEDICINA,127,Paraguay 2155,2,27
128,ESC N°2 JUAN LARREA,128,Laprida 1235,2,28
129,COLEGIO EDMONDO DE AMICIS,129,Dr. N. Quirno Costa 1260,2,28
130,ESC N°6 MANUEL BELGRANO,130,Ecuador 1158 / s/n,2,28
131,ICAPA,131,Dr. T. M. de Anchorena 1266,2,28
132,EL JARDIN DE PALERMO,132,Charcas 3082,2,28
133,INST LOS ANGELES CUSTODIOS,133,Gral. Lucio N. Mansilla 2588,2,28
