id_mesa,id_establecimiento,nro_mesa,extranjera,ciudadanos_habilitados
1,1,1,NO,343
2,1,2,NO,343
3,1,3,NO,343
4,1,4,NO,343
5,1,5,NO,343
6,7,6,NO,343
7,7,7,NO,343
8,7,8,NO,343
9,7,9,NO,343
10,7,10,NO,343
11,2,11,NO,343
12,2,12,NO,343
13,2,13,NO,343
14,2,14,NO,343
15,2,15,NO,343
16,3,16,NO,343
17,3,17,NO,343
18,3,18,NO,343
19,4,19,NO,343
20,4,20,NO,343
21,4,21,NO,343
22,4,22,NO,343
23,5,23,NO,343
24,5,24,NO,343
25,5,25,NO,343
26,6,26,NO,343
27,6,27,NO,342
28,6,28,NO,342
29,6,29,NO,342
30,6,30,NO,342
31,8,31,NO,346
32,8,32,NO,346
33,8,33,NO,346
34,8,34,NO,346
35,8,35,NO,346
36,9,36,NO,346
37,9,37,NO,346
38,9,38,NO,346
39,9,39,NO,346
40,10,40,NO,346
41,10,41,NO,346
42,10,42,NO,346
43,11,43,NO,346
44,11,44,NO,346
45,11,45,NO,346
46,12,46,NO,346
47,12,47,NO,346
48,12,48,NO,346
49,12,49,NO,346
50,13,50,NO,345
51,13,51,NO,345
52,13,52,NO,345
53,14,53,NO,345
54,14,54,NO,345
55,14,55,NO,345
56,14,56,NO,345
57,14,57,NO,345
58,15,58,NO,328
59,15,59,NO,328
60,15,60,NO,328
61,15,61,NO,328
62,15,62,NO,328
63,15,63,NO,328
64,15,64,NO,328
65,15,65,NO,328
66,15,66,NO,327
67,15,67,NO,327
68,16,68,NO,320
69,16,69,NO,320
70,16,70,NO,320
71,16,71,NO,320
72,16,72,NO,320
73,16,73,NO,320
74,16,74,NO,320
75,16,75,NO,319
76,18,76,NO,350
77,18,77,NO,350
78,18,78,NO,350
79,18,79,NO,350
80,18,80,NO,350
81,18,81,NO,350
82,18,82,NO,350
83,18,83,NO,350
84,18,84,NO,350
85,18,85,NO,350
86,18,86,NO,350
87,19,87,NO,350
88,19,88,NO,350
89,19,89,NO,349
90,19,90,NO,349
91,19,91,NO,349
92,19,92,NO,349
93,19,93,NO,349
94,19,94,NO,349
95,19,95,NO,349
96,19,96,NO,349
97,20,97,NO,349
98,20,98,NO,349
99,20,99,NO,349
100,20,100,NO,349
101,20,101,NO,349
102,20,102,NO,349
103,20,103,NO,349
104,20,104,NO,349
105,20,105,NO,349
106,20,106,NO,349
107,20,107,NO,349
108,17,108,NO,349
109,17,109,NO,349
110,17,110,NO,349
111,17,111,NO,349
112,17,112,NO,349
113,21,113,NO,349
114,21,114,NO,349
115,21,115,NO,349
116,21,116,NO,349
117,22,117,NO,349
